question|answer
Qu'allons nous faire?|à propos de quoi
à propos de quoi?|à propos de me trouver un emploi.
à propos de me trouver un emploi.|vous n'avez pas besoin d'un travail je gagne assez d'argent pour nous deux 
vous n'avez pas besoin d'un travail.|je gagne assez d'argent pour nous deux cela n'a pas d'importance je ne veux pas rester assis 
cela n'a pas d'importance.|je ne veux pas rester assis ok, quel genre de travail veux-tu ? 
ok, quel genre de travail veux-tu ?|Je ne suis pas sûr.
Je ne suis pas sûr.|eh bien, tu devrais faire quelque chose que tu aimes 
eh bien, tu devrais faire quelque chose que tu aimes.|j'aime vendre je suis né pour vendre 
j'aime vendre.|je suis né pour vendre ok, que veux-tu vendre ? 
ok, que veux-tu vendre ?|briquets. je ferai fortune.
briquets.|je ferai fortune mais vous détestez les cigarettes et vous détestez fumer ! 
un nouvel hôtel recherche des travailleurs.|oui, je l'ai vu au journal télé 
oui, je l'ai vu au journal télé.|ils ont besoin de 300 nouveaux travailleurs 
ils ont besoin de 300 nouveaux travailleurs.|et 4 000 personnes se sont présentées 
et 4 000 personnes se sont présentées.|tant de gens sont sans travail 
tant de gens sont sans travail.|j'ai toujours mon travail, Dieu merci 
j'ai toujours mon travail, Dieu merci.|moi aussi, mais je suis inquiet 
moi aussi, mais je suis inquiet.|moi aussi il n'y a aucune garantie 
moi aussi.|il n'y a aucune garantie si tu perds ton emploi, tu peux emménager avec moi 
si tu perds ton emploi, tu peux emménager avec moi.|Oh merci c'est très gentil de ta part 
Oh merci.|c'est très gentil de ta part tu ferais la même chose pour moi 
tu ferais la même chose pour moi.|bien sûr à quoi servent les amis ? 
tout le monde achète des actions.|je l'ai acheté sur une intuition 
je l'ai acheté sur une intuition.|vous n'avez pas entendu parler de l'entreprise en premier ? 
vous n'avez pas entendu parler de l'entreprise en premier ?|je n'étais pas obligé de le faire. elle est en activité depuis 60 ans.
je n'étais pas obligé de le faire.|elle est en activité depuis 60 ans donc quel est le problème? 
donc quel est le problème?|j'ai utilisé toutes mes économies sur cette seule entreprise.
j'ai utilisé toutes mes économies sur cette seule entreprise.|vous mettez tous vos œufs dans le même panier 
vous mettez tous vos œufs dans le même panier.|si l'entreprise fait faillite, je n'aurai rien 
si l'entreprise fait faillite, je n'aurai rien.|Oh, 
j'allais être médecin.|qu'est-il arrivé à tes projets ? 
qu'est-il arrivé à tes projets ?|j'ai eu une annonce en chimie universitaire.
j'ai eu une annonce en chimie universitaire.|eh bien, une annonce vaut mieux qu'un f 
eh bien, une annonce vaut mieux qu'un f.|un tuteur m'a aidé à obtenir le d ! 
un tuteur m'a aidé à obtenir le d ! donc, tu n'es pas devenu médecin.|
donc, tu n'es pas devenu médecin.|et maintenant je suis content de ne pas l'avoir fait 
et maintenant je suis content de ne pas l'avoir fait.|pourquoi ça? 
pourquoi ça?|un hôpital est l'endroit le plus dangereux au monde.
un hôpital est l'endroit le plus dangereux au monde.|oh, oui, à cause de tous les germes tueurs 
oh, oui, à cause de tous les germes tueurs.|si vous êtes un médecin intelligent, vous restez loin des hôpitaux 
si vous êtes un médecin intelligent, vous restez loin des hôpitaux.|oui, les médecins intelligents sont ces médecins des journaux télévisés : pas d’hôpitaux, pas de patients 
je veux être facteur quand je serai grand.|pourquoi ? 
pourquoi ?|parce qu'on rencontre beaucoup de gens.
parce qu'on rencontre beaucoup de gens.|c'est sûr que tu le fais 
c'est sûr que tu le fais.|et vous faites beaucoup d'exercice chaque jour 
et vous faites beaucoup d'exercice chaque jour.|c'est la vérité 
c'est la vérité.|et tu peux jouer avec beaucoup de chiens 
et tu peux jouer avec beaucoup de chiens.|eh bien, tu es censé travailler 
eh bien, tu es censé travailler.|oui, mais je caresserai toujours les chiens amicaux 
oui, mais je caresserai toujours les chiens amicaux.|qu'en est-il des chiens hostiles ? 
qu'en est-il des chiens hostiles ?|je pense que si vous êtes amical avec les chiens, ils le sont avec vous.
je pense que si vous êtes amical avec les chiens, ils le sont avec vous.|les chiens sont comme les gens : ils ne sont pas tous amicaux 
je veux déménager à New York.|à l'État ou à la ville ? 
à l'État ou à la ville ?|en ville, bien sûr.
en ville, bien sûr.|pourquoi veux-tu déménager là-bas ? 
pourquoi veux-tu déménager là-bas ?|parce que je veux gagner beaucoup d'argent.
parce que je veux gagner beaucoup d'argent.|il y a beaucoup de pauvres à New York 
il y en a certainement – ​​au moins un million.|alors comment comptez-vous devenir riche ? 
alors comment comptez-vous devenir riche ?|je frapperai aux portes de toutes les entreprises.
je frapperai aux portes de toutes les entreprises.|cela ne vous rendra pas riche personne ne vous parlera 
j'ajoute du poivre et du sel.|je mets toujours du fromage dans mes salades 
je mets toujours du fromage dans mes salades.|oui, le fromage est bon 
cela ne vous rendra pas riche.|personne ne vous parlera je continuerai à frapper aux portes 
je continuerai à frapper aux portes.|tout ce que vous aurez, ce sont des douleurs aux articulations 
j'adore les salades.|moi aussi 
moi aussi.|je mange habituellement une simple salade 
je mange habituellement une simple salade.|qu'est-ce que tu mets dedans ? 
qu'est-ce que tu mets dedans ?|juste de la laitue, de la tomate et du céleri.
juste de la laitue, de la tomate et du céleri.|c'est ça? 
c'est ça?|j'ajoute du poivre et du sel.
oui, le fromage est bon.|quel genre de pansement utilisez-vous ? 
quel genre de pansement utilisez-vous ?|je verse beaucoup de vinaigrette française dessus.
je verse beaucoup de vinaigrette française dessus.|moi aussi la vinaigrette française est tellement délicieuse ! qui se soucie des calories ? 
je aime le fromage.|moi aussi 
moi aussi.|d'où vient le fromage ? 
d'où vient le fromage ?|ça vient des vaches.
ça vient des vaches.|donc nous obtenons du fromage de vache, et nous obtenons aussi du lait ? 
donc nous obtenons du fromage de vache, et nous obtenons aussi du lait ?|Oui.
Oui.|qu'est-ce que nous obtenons d'autre des vaches ? 
qu'est-ce que nous obtenons d'autre des vaches ?|nous mangeons des hamburgers et des steaks.
nous mangeons des hamburgers et des steaks.|oh, c'est tellement délicieux 
oh, c'est tellement délicieux.|nous obtenons également du cuir 
nous obtenons également du cuir.|nous tirons beaucoup de choses des vaches, n'est-ce pas ? 
nous tirons beaucoup de choses des vaches, n'est-ce pas ?|Oui. une vache est la meilleure amie de l'homme.
je travaillais dans une épicerie fine.|comment as-tu aimé ? 
comment as-tu aimé ?|je l'ai aimé!
je l'ai aimé! as-tu reçu de la nourriture gratuite ?.|
as-tu reçu de la nourriture gratuite ?|je mangeais gratuitement du fromage et de la viande tous les jours.
je mangeais gratuitement du fromage et de la viande tous les jours.|cela semble être un excellent travail 
cela semble être un excellent travail.|peu importe ce qu'un client a commandé, j'en ai coupé un peu plus pour moi 
peu importe ce qu'un client a commandé, j'en ai coupé un peu plus pour moi.|tu as grossi ? 
tu as grossi ?|non, mais j'ai pris quelques kilos.
non, mais j'ai pris quelques kilos.|cela ressemble à un travail de rêve 
cela ressemble à un travail de rêve.|c'était le cas, jusqu'au jour où mon manager m'a attrapé 
c'était le cas, jusqu'au jour où mon manager m'a attrapé.|plus de fromage gratuit pour toi, hein ? 
Que manges-tu maintenant?|je suis passé des pâtes aux pommes de terre.
je suis passé des pâtes aux pommes de terre.|pourquoi fais-tu ça? 
eh bien, tu auras de la nourriture chaude et fraîche demain soir.|je suis tellement rassasié que je vais éclater 
tu devrais desserrer ta ceinture.|j'ai déjà desserré ma ceinture et déboutonné mon pantalon 
j'ai déjà desserré ma ceinture et déboutonné mon pantalon.|eh bien, ne vous levez pas, s'il vous plaît 
j'ai vu ce que tu as fait.|je n'ai rien fait 
je n'ai rien fait.|oh oui, tu l'as fait 
oh oui, tu l'as fait.|de quoi parles-tu? 
de quoi parles-tu?|tu sais de quoi je parle.
tu sais de quoi je parle.|je n'en ai aucune idée 
je n'en ai aucune idée.|tu sais ce que tu as fait 
tu sais ce que tu as fait.|peut-être que je sais, mais comment peux-tu le savoir ? 
peut-être que je sais, mais comment peux-tu le savoir ?|parce que je te regardais.
je suis un homme et les hommes ne portent pas de sac à main ! eh bien, tu devrais acheter des pantalons avec des poches plus solides.|
parce que je te regardais.|ok, je suis désolé de l'avoir fait 
ok, je suis désolé de l'avoir fait.|ne buvez pas de lait sorti du carton utilise un verre ! 
ne buvez pas de lait sorti du carton.|utilise un verre ! je promets que je ne boirai plus jamais dans le carton 
j'aime cette chemise.|moi aussi 
moi aussi.|combien ça coûte? 
combien ça coûte?|je ne sais pas. l'étiquette est manquante.
je ne sais pas.|l'étiquette est manquante demandez au greffier 
demandez au greffier.|je vais 
je vais.|Oh regarde voici une autre chemise comme celle-ci 
Oh regarde.|voici une autre chemise comme celle-ci est-ce qu'il y a un prix ? 
est-ce qu'il y a un prix ?|Oui. c'est seulement 20 $.
Oui.|c'est seulement 20 $ c'est un très bon prix 
c'est un très bon prix.|je pense que je vais les acheter tous les deux 
je pense que je vais les acheter tous les deux.|tu ferais mieux de les essayer d'abord 
je t'ai acheté un pantalon.|merci 
merci.|j'espère qu'ils conviennent 
j'espère qu'ils conviennent.|j'espère que tu as gardé le reçu 
j'espère que tu as gardé le reçu.|tu penses qu'ils ne rentreront pas ? 
tu penses qu'ils ne rentreront pas ?|je pense que j'ai pris du poids.
je pense que j'ai pris du poids.|tu penses? 
tu penses?|peut-être une livre ou deux.
peut-être une livre ou deux.|peut-être quatre ou cinq livres ? 
peut-être quatre ou cinq livres ?|ma taille est plus grosse qu'elle ne l'était.
ma taille est plus grosse qu'elle ne l'était.|aucun problème ce pantalon a une taille élastique 
aucun problème.|ce pantalon a une taille élastique tu es tellement intelligent! 
que devons-nous acheter ?|laissez-moi regarder notre liste.
laissez-moi regarder notre liste.|je sais que nous avons besoin de lait 
je sais que nous avons besoin de lait.|sans gras 
sans gras.|bien sûr quoi d'autre? 
bien sûr. quoi d'autre?|nous avons besoin de fromage, de pain et de jambon.
nous avons besoin de fromage, de pain et de jambon.|quel genre de fromage ? 
quel genre de fromage ?|Suisse.
Suisse.|bien sûr, le fromage troué 
bien sûr, le fromage troué.|je n'achetais jamais de fromage suisse 
je n'achetais jamais de fromage suisse.|pourquoi pas? 
je pensais que tu venais d'en acheter une paire.|je l'ai fait 
je l'ai fait.|qu'est-ce qui ne va pas chez eux si tôt ? 
qu'est-ce qui ne va pas chez eux si tôt ?|le pantalon va bien, mais la poche a un énorme trou dedans.
le pantalon va bien, mais la poche a un énorme trou dedans.|vous ne devriez pas avoir vos clés et vos stylos dans votre poche 
vous ne devriez pas avoir vos clés et vos stylos dans votre poche.|mais c'est à cela que servent les poches 
mais c'est à cela que servent les poches.|vous devriez les transporter dans un sac à main 
vous devriez les transporter dans un sac à main.|je suis un homme et les hommes ne portent pas de sac à main ! 
je le ferais si je pouvais trouver quelqu'un qui fait de solides poches.|essayez une recherche Google en ligne 
à quoi servent ces lingettes ?|vous les utilisez pour essuyer la poignée du panier.
eh bien, tu devrais acheter des pantalons avec des poches plus solides.|je le ferais si je pouvais trouver quelqu'un qui fait de solides poches 
vous les utilisez pour essuyer la poignée du panier.|c'est une bonne idée 
c'est une bonne idée.|oui, tous les marchés viennent de commencer à proposer des lingettes aux acheteurs 
oui, tous les marchés viennent de commencer à proposer des lingettes aux acheteurs.|je vais prendre cinq lingettes 
je vais prendre cinq lingettes.|pourquoi en as-tu besoin de cinq ? 
pourquoi en as-tu besoin de cinq ?|un pour essuyer le manche et les autres pour essuyer les produits.
un pour essuyer le manche et les autres pour essuyer les produits.|quel est le problème avec les produits ? 
quel est le problème avec les produits ?|tu crois que les bananes sont tombées du ciel
tu crois que les bananes sont tombées du ciel ?|que veux-tu dire
que veux-tu dire ?|je veux dire, quelqu'un a utilisé ses mains sales pour cueillir les bananes, les pommes et les oranges.
je veux dire, quelqu'un a utilisé ses mains sales pour cueillir les bananes, les pommes et les oranges.|eh bien, tu ferais mieux de garder une lingette pour les billets sales avec lesquels tu vas payer 
es-tu allé au magasin 99 cents ?|Oui je l'ai fait.
Oui je l'ai fait.|Qu'avez-vous acheté? 
Qu'avez-vous acheté?|et bien, j'ai fait plein de bonnes affaires, comme d'habitude.
et bien, j'ai fait plein de bonnes affaires, comme d'habitude.|comme quoi? 
comme quoi?|eh bien, une douzaine de gros œufs ne coûtaient que 99 cents.
eh bien, une douzaine de gros œufs ne coûtaient que 99 cents.|c'est une bonne affaire 
c'est une bonne affaire.|et un pot d'une livre de beurre mou coûtait le même prix 
et un pot d'une livre de beurre mou coûtait le même prix.|encore une bonne affaire 
encore une bonne affaire.|mais la meilleure affaire était de cinq livres de pommes de terre pour 99 cents 
mais la meilleure affaire était de cinq livres de pommes de terre pour 99 cents.|je ne sais pas comment ce magasin gagne de l'argent 
j'ai commencé à faire du shopping au magasin à un dollar.|cela permet d'économiser beaucoup d'argent 
cela permet d'économiser beaucoup d'argent.|j'ai acheté trois livres de pommes de terre pour un dollar 
j'ai acheté trois livres de pommes de terre pour un dollar.|c'est une bonne affaire 
c'est une bonne affaire.|oui, même si certaines pommes de terre avaient des yeux 
oui, même si certaines pommes de terre avaient des yeux.|il suffit de les mettre au réfrigérateur 
il suffit de les mettre au réfrigérateur.|aussi, j'ai acheté une canette de café bon marché et un sac de bon café 
aussi, j'ai acheté une canette de café bon marché et un sac de bon café.|pourquoi fais-tu ça? 
pourquoi fais-tu ça?|je les ai mélangés ensemble.
je les ai mélangés ensemble.|si le café a toujours bon goût, c'est une bonne idée 
j'aime vraiment cette maison.|pouvons-nous nous le permettre ? 
pouvons-nous nous le permettre ?|ils veulent 20 pour cent de réduction.
ils veulent 20 pour cent de réduction.|c'est beaucoup d'argent 
c'est beaucoup d'argent.|mais la maison est tellement belle 
mais la maison est tellement belle.|c'est dans un super quartier 
c'est dans un super quartier.|c'est proche de la plage 
c'est proche de la plage.|c'est proche des autoroutes 
c'est proche des autoroutes.|il y a une grande cour 
il y a une grande cour.|les enfants adorent la maison aussi 
les enfants adorent la maison aussi.|si nous ne l'achetons pas, quelqu'un d'autre le fera 
si nous ne l'achetons pas, quelqu'un d'autre le fera.|tu as raison achetons-le maintenant nous pouvons nous inquiéter plus tard 
nous ne pouvons pas nous permettre cette maison.|es-tu sûr? 
es-tu sûr?|nous serons riches en maisons, mais pauvres en liquidités.
nous serons riches en maisons, mais pauvres en liquidités.|que veux-tu dire ? 
que veux-tu dire ?|nos mensualités seront trop élevées.
nos mensualités seront trop élevées.|nous n'aurons pas d'argent pour autre chose ? 
nous n'aurons pas d'argent pour autre chose ?|non, nous n'aurons pas d'argent pour l'essence ou la nourriture.
non, nous n'aurons pas d'argent pour l'essence ou la nourriture.|on va manger des sandwichs au beurre de cacahuète ? 
on va manger des sandwichs au beurre de cacahuète ?|sans le beurre de cacahuète !
sans le beurre de cacahuète ! Ce n'est pas bon!.|
Ce n'est pas bon! nous devons trouver une maison moins chère.|
nous devons trouver une maison moins chère.|bien sûr nous ne pouvons pas vivre sans essence ni beurre de cacahuète 
c'est une belle maison.|je n'aime pas ça 
je n'aime pas ça.|Qu'est ce qu'il se passe avec ça? 
Qu'est ce qu'il se passe avec ça?|c'est dans le coin.
c'est dans le coin.|donc? 
donc?|cela signifie qu'il génère deux fois plus de trafic.
cela signifie qu'il génère deux fois plus de trafic.|tu as raison 
tu as raison.|lorsque vous êtes à l'intérieur, vous entendrez toujours les voitures s'arrêter et s'arrêter à l'intersection 
lorsque vous êtes à l'intérieur, vous entendrez toujours les voitures s'arrêter et s'arrêter à l'intersection.|ou vous entendrez la collision si quelqu'un ne s'arrête pas 
ou vous entendrez la collision si quelqu'un ne s'arrête pas.|ou vous verrez la collision s'ils s'écrasent sur la maison 
ou vous verrez la collision s'ils s'écrasent sur la maison.|trouvons une maison au bout d'une impasse 
trouvons une maison au bout d'une impasse.|C'est parfait moins il y a de trafic, mieux c'est 
je déteste chercher un appartement.|moi aussi 
moi aussi.|nous avons rendez-vous à 14 heures pour voir celui de la rue principale 
nous avons rendez-vous à 14 heures pour voir celui de la rue principale.|nous ferions mieux de nous préparer à partir 
nous ferions mieux de nous préparer à partir.|c'est une unité à l'étage 
et c'est une unité de coin.|c'est super nous n'aurons pas de voisins des deux côtés de nous 
c'est super.|nous n'aurons pas de voisins des deux côtés de nous aucun animal n'est autorisé 
aucun animal n'est autorisé.|parfait nous n'avons pas besoin d'écouter les chiens qui aboient 
parfait.|nous n'avons pas besoin d'écouter les chiens qui aboient et il n'y a que six unités dans tout le bâtiment 
et il n'y a que six unités dans tout le bâtiment. où est le chéquier ?|je suis prêt à le louer sans même le voir.
as-tu appelé le gérant ?|Oui. il a dit qu'il viendrait demain.
Oui.|il a dit qu'il viendrait demain a-t-il dit à quelle heure ? 
a-t-il dit à quelle heure ?|Oui. il a dit qu'il serait là à 9 heures.
Oui.|il a dit qu'il serait là à 9 heures 
a-t-il compris quel est le problème ?|Oui. je lui ai dit que notre sonnette ne fonctionnait pas.
Oui.|je lui ai dit que notre sonnette ne fonctionnait pas ça ne devrait pas lui prendre longtemps pour le réparer 
ça ne devrait pas lui prendre longtemps pour le réparer.|je ne sais même pas pourquoi nous devons le réparer 
je ne sais même pas pourquoi nous devons le réparer.|au cas où nous aurions des visiteurs 
au cas où nous aurions des visiteurs.|mais ils peuvent simplement frapper à la porte 
mais ils peuvent simplement frapper à la porte.|en fait, je veux qu'il regarde notre tapis aussi 
en fait, je veux qu'il regarde notre tapis aussi.|oui, ce serait bien s'il nous offrait un nouveau tapis 
est-ce que tu aimes cette maison ?|Oui c'est magnifique.
Oui c'est magnifique.|c'est parfait pour nous et les enfants 
c'est parfait pour nous et les enfants.|trois chambres, trois salles de bains et une grande cour arrière 
trois chambres, trois salles de bains et une grande cour arrière.|et nous pouvons nous le permettre ! 
et nous pouvons nous le permettre ! alors on va l'acheter ?.|
alors on va l'acheter ?|J'ai bien peur que non.
J'ai bien peur que non.|c'est trop loin de ton travail, n'est-ce pas ? 
c'est trop loin de ton travail, n'est-ce pas ?|je ne peux pas passer quatre heures sur la route chaque jour.
je ne peux pas passer quatre heures sur la route chaque jour.|au moment où vous rentrerez à la maison, vous serez trop fatigué pour même manger 
je ne pourrai pas jouer avec les enfants.|non, nous devons trouver quelque chose de plus proche de votre travail 
mon garçon, il fait froid dehors, n'est-ce pas ?|Tout à fait.
Tout à fait.|en fait, il fait froid dans l'appartement aussi 
en fait, il fait froid dans l'appartement aussi.|Allumons le feu 
Allumons le feu.|je vais vérifier que toutes les fenêtres sont fermées 
je vais vérifier que toutes les fenêtres sont fermées.|il devrait faire plus chaud dans quelques minutes 
il devrait faire plus chaud dans quelques minutes.|c'est tellement agréable d'avoir un appartement chauffé 
ils avaient des cheminées.|quelqu'un a dû couper le bois 
quelqu'un a dû couper le bois.|et portez-le dans la maison 
et portez-le dans la maison.|tout ce que nous avons à faire est d'actionner un interrupteur 
c'est un quartier sympa.|les rues sont propres et calmes 
les rues sont propres et calmes.|les voisins ne font pas la fête le week-end 
les voisins ne font pas la fête le week-end.|les gens prennent soin de leur pelouse 
les gens prennent soin de leur pelouse.|
aucune vieille voiture rouillée ne se trouve dans les cours avant.|nous n'avons jamais besoin d'appeler la police pour quoi que ce soit 
nous n'avons jamais besoin d'appeler la police pour quoi que ce soit.|nos enfants sont complètement en sécurité 
nos enfants sont complètement en sécurité.|alors pourquoi vendons-nous notre maison ? 
alors pourquoi vendons-nous notre maison ?|ils construisent un immeuble de 3 étages au coin.
ils construisent un immeuble de 3 étages au coin.|
donc nous devons vendre avant que la valeur des propriétés ne baisse ?|Oui. Je n'arrive toujours pas à croire que notre conseil municipal ait autorisé ce bâtiment.
Oui.|Je n'arrive toujours pas à croire que notre conseil municipal ait autorisé ce bâtiment ils obtiennent probablement quelque chose sous la table 
c'était un énorme incendie à Santa Barbara.|Oui c'était 
Oui c'était.|ils ont dit qu'environ 30 maisons avaient été entièrement brûlées 
ils ont dit qu'environ 30 maisons avaient été entièrement brûlées.|et c'étaient des maisons chères 
et c'étaient des maisons chères.|je suis vraiment désolé pour ces gens 
je suis vraiment désolé pour ces gens.|pourquoi avoir pitié des gens riches ? 
pourquoi avoir pitié des gens riches ?|je suis désolé pour tous ceux qui perdent leur maison.
je suis désolé pour tous ceux qui perdent leur maison.|moi aussi, mais pas s'ils sont riches 
moi aussi, mais pas s'ils sont riches.|qu'est-ce que ça a à voir avec ça ? 
qu'est-ce que ça a à voir avec ça ?|les riches pensent qu'ils sont meilleurs que nous.
les riches pensent qu'ils sont meilleurs que nous.|combien de personnes riches connaissez-vous ? 
combien de personnes riches connaissez-vous ?|aucun.
les ours envahissent nos quartiers.|bien sûr qu’ils le sont ils meurent de faim 
bien sûr qu’ils le sont.|ils meurent de faim ils devraient rester dans les bois auxquels ils appartiennent 
ils devraient rester dans les bois auxquels ils appartiennent.|il n'y a pas de nourriture dans les bois 
il n'y a pas de nourriture dans les bois.|ils ne peuvent pas manger de l'herbe ? 
ils ne peuvent pas manger de l'herbe ?|tu penses qu'un ours est une vache
tu penses qu'un ours est une vache ?|eh bien, je les ai vus manger des baies.
eh bien, je les ai vus manger des baies.|les baies ne sont pas de saison toute l'année 
les baies ne sont pas de saison toute l'année.|c'est trop dangereux pour les enfants et les animaux domestiques 
c'est trop dangereux pour les enfants et les animaux domestiques.|les gens doivent couvrir leurs poubelles 
les gens doivent couvrir leurs poubelles.|la police doit tirer sur tous les ours 
la police doit tirer sur tous les ours.|on ne résout pas un problème en le tirant 
pour qui as-tu voté ?|j'ai voté pour Obama.
j'ai voté pour Obama.|moi aussi 
moi aussi.|il sera un grand président 
il sera un grand président.|tout le monde l'aime bien 
tout le monde l'aime bien.|c'est un bon orateur 
c'est un bon orateur.|et il est vraiment intelligent 
et il est vraiment intelligent.|il résoudra nos problèmes 
il résoudra nos problèmes.|il mettra fin à la guerre 
il mettra fin à la guerre.|les quatre prochaines années seront de bonnes années 
les quatre prochaines années seront de bonnes années.|
je voterai pour lui la prochaine fois aussi.|je pense que tout le monde le fera 
les élections auront lieu la semaine prochaine.|pour qui votez-vous ? 
pour qui votez-vous ?|je ne vote pas pour le maire.
je ne vote pas pour le maire.|pourquoi pas? 
pourquoi pas?|il a fait des promesses qu'il n'a pas tenues.
Obama a quatre ans pour rendre tout le monde heureux.|
il a fait des promesses qu'il n'a pas tenues.|comme quoi? 
comme quoi?|il a promis d'en embaucher 1,
il a promis d'embaucher 1 000 policiers supplémentaires.|combien en a-t-il embauché ? 
combien en a-t-il embauché ?|cent!
cent! peut-être qu'il avait une bonne raison.|
peut-être qu'il avait une bonne raison.|c'est peut-être juste un menteur 
c'est peut-être juste un menteur.|peut-être que je voterai pour quelqu'un d'autre aussi 
je ne peux pas croire qu'il a gagné les élections.|seuls 15 pour cent des électeurs se sont rendus 
seuls 15 pour cent des électeurs se sont rendus.|c'est une blague 
c'est une blague.|voter est si important, mais les gens ne s'en soucient pas 
voter est si important, mais les gens ne s'en soucient pas.|beaucoup de gens pensent que leur vote n'a pas d'importance 
beaucoup de gens pensent que leur vote n'a pas d'importance.|le maire a gagné par seulement 2 000 voix 
le maire a gagné par seulement 2 000 voix.|nous sommes coincés avec lui pendant encore quatre ans 
voter est si simple.|vous pouvez même envoyer votre bulletin de vote par courrier Il vous suffit de voter et d'y apposer un cachet 
il suffit de voter et d'y apposer son cachet.|est-ce facile ? 
est-ce facile ?|je suppose que les gens s'en moquent.
je suppose que les gens s'en moquent.|ils s'en soucieront lorsqu'ils verront leurs impôts augmenter 
eh bien, nous avons un nouveau président.|mais nous avons les mêmes vieux problèmes 
mais nous avons les mêmes vieux problèmes.|eh bien, il a fait quelques changements 
eh bien, il a fait quelques changements.|comme quoi? 
comme quoi?|je pense qu'il a fermé le bowling de la Maison Blanche.
je pense qu'il a fermé le bowling de la Maison Blanche.|oh ouais il le change en terrain de basket 
oh ouais.|il le change en terrain de basket qui paie pour ça ? 
qui paie pour ça ?|je pense que oui !
je pense que oui ! eh bien, ce n'est pas grave, tant que cela l'aide à se détendre et à réfléchir plus clairement.|
eh bien, ce n'est pas grave, tant que cela l'aide à se détendre et à réfléchir plus clairement.|oui, nous avons besoin d'un président détendu et qui pense clairement 
oui, nous avons besoin d'un président détendu et qui pense clairement.|Y a-t-il d'autres dirigeants mondiaux qui ont un terrain de basket ? 
Y a-t-il d'autres dirigeants mondiaux qui ont un terrain de basket ?|elles vont. vous savez, l’Amérique ouvre toujours la voie.
les gens disent que tout le monde aime Obama.|eh bien, plus de 50 millions de personnes ont voté pour McCain 
eh bien, plus de 50 millions de personnes ont voté pour McCain.|cela fait 50 millions de personnes qui n'aiment pas Obama 
cela fait 50 millions de personnes qui n'aiment pas Obama.|Obama a quatre ans pour rendre tout le monde heureux 
il ne rendra jamais tout le monde heureux.|pouvez-vous imaginer être président ? 
pouvez-vous imaginer être président ?|tout le monde veut que vous résolviez ses problèmes.
tout le monde veut que vous résolviez ses problèmes.|j'ai assez de stress à force d'essayer de résoudre mes propres problèmes 
j'ai assez de stress à force d'essayer de résoudre mes propres problèmes.|
vous et tout le monde.|je ne voudrais jamais être président 
je ne voudrais jamais être président.|mais pensez à tout le pouvoir que vous auriez 
mais pensez à tout le pouvoir que vous auriez.|je préfère ma petite vie tranquille à tout le pouvoir du monde 
as-tu lu cet article ?|quel article
quel article ?|il indique que le maire consacre seulement 11 pour cent de son temps aux tâches municipales.
il indique que le maire consacre seulement 11 pour cent de son temps aux tâches municipales.|seulement 11 pour cent ? 
seulement 11 pour cent ?|environ 50 pour cent du temps, il voyage.
mais il est censé rendre notre ville meilleure.|il visite d'autres villes pour trouver des idées 
il visite d'autres villes pour trouver des idées.|ne peut-il pas simplement aller en ligne ? 
ne peut-il pas simplement aller en ligne ?|le reste du temps, il collecte des fonds pour sa réélection.
le reste du temps, il collecte des fonds pour sa réélection.|eh bien, il ne sera jamais réélu une fois que cette nouvelle sera connue 
pour qui avez-vous voté pour le président ?|j'ai voté pour Ralph Nader.
j'ai voté pour Ralph Nader.|qui diable est Ralph Nader ? 
qui diable est Ralph Nader ?|c'est le meilleur homme pour être président.
c'est le meilleur homme pour être président.|pourquoi ça? 
pourquoi ça?|il déteste les entreprises.
il déteste les entreprises.|eh bien, la plupart des entreprises ne pensent qu'à l'argent 
eh bien, la plupart des entreprises ne pensent qu'à l'argent.|il déteste les démocrates et les républicains 
il déteste les démocrates et les républicains.|eh bien, ils font passer leur parti avant leur pays 
eh bien, ils font passer leur parti avant leur pays.|c'est le seul candidat en qui j'ai confiance 
c'est le seul candidat en qui j'ai confiance.|mais il n'avait aucune chance personne n'a voté pour lui ! 
mais il n'avait aucune chance.|personne n'a voté pour lui ! tôt ou tard, les électeurs se réveilleront 
je ne sais pas pourquoi je prends la peine de voter.|pourquoi ça? 
pourquoi ça?|à quoi ça sert
à quoi ça sert ?|vous pouvez mettre au pouvoir quelqu'un que vous aimez.
vous pouvez mettre au pouvoir quelqu'un que vous aimez.|seulement si mon candidat gagne 
seulement si mon candidat gagne.|eh bien, il ne peut pas gagner à moins que vous et les autres votiez pour lui 
eh bien, il ne peut pas gagner à moins que vous et les autres votiez pour lui.|mais même si mon candidat gagne, il ne tiendra pas ses promesses 
mais même si mon candidat gagne, il ne tiendra pas ses promesses.|c'est vrai ils promettent n'importe quoi pour se faire élire 
c'est vrai.|ils promettent n'importe quoi pour se faire élire et une fois élus, ils suivent leur propre chemin 
Cette élection pour nous, sénateur, était nulle.|que veux-tu dire ? 
que veux-tu dire ?|il y a eu plus de votes que d'électeurs !
et une fois élus, ils suivent leur propre chemin.|
ils oublient qui les a mis au pouvoir.|ils oublient d'où ils viennent 
ils oublient d'où ils viennent.|peut-être que tu devrais te présenter aux élections 
il y a eu plus de votes que d'électeurs ! mais c'est impossible.|
mais c'est impossible.|les responsables ont dit que c'était possible 
les responsables ont dit que c'était possible.|ont-ils expliqué comment c'est possible ? 
ont-ils expliqué comment c'est possible ?|Non. ils ont dit qu'il y avait certaines choses qu'on ne pouvait pas expliquer.
